property_type,price,location,city,baths,bedrooms,Area_in_Marla
Flat,8000000,Gulistan-e-Jauhar,Karachi,3,3,7.6
House,43500000,DHA Defence,Karachi,5,4,4.0
Flat,22500000,DHA Defence,Karachi,4,3,8.1
Flat,13000000,Gulshan-e-Iqbal Town,Karachi,4,3,8.9
Flat,11500000,Gulistan-e-Jauhar,Karachi,3,3,10.7
Flat,4790000,Bahria Town Karachi,Karachi,2,2,4.2
House,3200000,Gadap Town,Karachi,3,4,2.8
Flat,6000000,Bahria Town Karachi,Karachi,2,2,4.2
Flat,18000000,Gulshan-e-Iqbal Town,Karachi,2,3,7.3
Flat,12400000,Defence View Society,Karachi,2,2,4.7
Flat,9500000,Cantt,Karachi,2,3,6.7
House,8000000,Bahria Town Karachi,Karachi,3,3,8.0
Flat,4800000,Bahria Town Karachi,Karachi,2,2,4.2
Flat,3650000,Gadap Town,Karachi,2,2,3.3
House,16000000,North Karachi,Karachi,5,5,4.8
Flat,4050000,Gulshan-e-Iqbal Town,Karachi,2,2,3.3
House,14500000,Bahria Town Karachi,Karachi,4,4,14.0
Flat,4700000,Federal B Area,Karachi,2,3,36.0
Flat,4666000,Fazaia Housing Scheme,Karachi,2,2,5.8
Flat,7960000,Fazaia Housing Scheme,Karachi,4,3,9.8
Flat,10100000,Fazaia Housing Scheme,Karachi,5,4,12.5
House,6642000,Northern Bypass,Karachi,3,3,5.0
Penthouse,12200000,Nazimabad,Karachi,3,3,5.3
House,15000000,Gulistan-e-Jauhar,Karachi,5,6,6.0
Flat,3300000,Gulistan-e-Jauhar,Karachi,2,2,1.9
Flat,3700000,Gulistan-e-Jauhar,Karachi,2,2,4.0
Flat,6000000,Gulistan-e-Jauhar,Karachi,2,2,4.0
House,16000000,Gulistan-e-Jauhar,Karachi,5,5,7.0
Flat,2600000,Gulistan-e-Jauhar,Karachi,1,1,2.2
Upper Portion,14500000,Gulistan-e-Jauhar,Karachi,3,3,9.6
Flat,6000000,Gulshan-e-Iqbal Town,Karachi,2,2,4.0
House,6500000,P & T Colony,Karachi,2,2,3.2
Flat,4500000,E-11,Islamabad,2,2,4.7
House,41000000,G-11,Islamabad,6,6,14.2
Flat,43000000,Diplomatic Enclave,Islamabad,2,2,6.7
House,12000000,Bhara kahu,Islamabad,4,4,8.0
House,8200000,Military Accounts Housing Society,Lahore,4,4,4.0
House,17500000,Bahria Town,Lahore,6,5,10.0
House,16000000,Shalimar Housing Scheme,Lahore,5,5,7.0
House,44000000,DHA Defence,Lahore,6,5,20.0
House,41000000,DHA Defence,Lahore,6,5,20.0
House,26000000,Askari,Lahore,4,4,12.0
House,26500000,Punjab Govt Employees Society,Lahore,7,6,20.0
Flat,14500000,Askari,Lahore,5,4,11.0
Flat,19700000,Askari,Lahore,4,3,10.0
Flat,3600000,Khayaban-e-Amin,Lahore,2,2,5.0
Flat,38000000,DHA Defence,Lahore,3,3,9.8
House,29500000,DHA Defence,Lahore,5,4,10.0
House,27000000,DHA Defence,Lahore,4,3,10.0
House,5300000,Eden,Lahore,2,2,3.0
House,42500000,DHA Defence,Lahore,6,5,20.0
House,23500000,DHA Defence,Lahore,6,4,10.0
House,27500000,DHA Defence,Lahore,5,4,10.0
House,11500000,Bahria Town,Lahore,4,3,5.0
